,movieId,title,Action,Adventure,Animation,Children,Comedy,Crime,Documentary,Drama,Fantasy,Film-Noir,Horror,IMAX,Musical,Mystery,Romance,Sci-Fi,Thriller,War,Western,userId,rating,timestamp,Date,Month_Year
1,2,Jumanji (1995),0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,12882,4.0,1147195252,2006-05-09 17:20:52,05/2006
1,2,Jumanji (1995),0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,121987,4.5,1308152264,2011-06-15 15:37:44,06/2011
1,2,Jumanji (1995),0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,18127,4.0,1130946329,2005-11-02 15:45:29,11/2005
1,2,Jumanji (1995),0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,17318,4.0,1168807334,2007-01-14 20:42:14,01/2007
1,2,Jumanji (1995),0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,69519,4.0,1303980621,2011-04-28 08:50:21,04/2011
1,2,Jumanji (1995),0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,124823,4.0,1206529481,2008-03-26 11:04:41,03/2008
1,2,Jumanji (1995),0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8932,4.0,1187258856,2007-08-16 10:07:36,08/2007
1,2,Jumanji (1995),0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,48821,5.0,949393376,2000-02-01 08:22:56,02/2000
1,2,Jumanji (1995),0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9745,3.5,1184052621,2007-07-10 07:30:21,07/2007
1,2,Jumanji (1995),0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,65155,2.5,1423099601,2015-02-05 01:26:41,02/2015
1,2,Jumanji (1995),0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,108195,4.0,1095755257,2004-09-21 08:27:37,09/2004
1,2,Jumanji (1995),0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,119330,5.0,1141177220,2006-03-01 01:40:20,03/2006
1,2,Jumanji (1995),0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,86784,4.0,1356989215,2012-12-31 21:26:55,12/2012
1,2,Jumanji (1995),0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,120067,4.0,1250019356,2009-08-11 19:35:56,08/2009
1,2,Jumanji (1995),0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,108922,0.5,1284588846,2010-09-15 22:14:06,09/2010
1,2,Jumanji (1995),0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,316,2.5,1150538725,2006-06-17 10:05:25,06/2006
1,2,Jumanji (1995),0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,100277,5.0,1162071672,2006-10-28 21:41:12,10/2006
1,2,Jumanji (1995),0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,33173,4.0,1145839139,2006-04-24 00:38:59,04/2006
